시리얼번호|온도차이|온도비율차이|공|과|구|답|대|도|묘|사|산공|산과|산구|산답|산대|산도|산묘|산사|산수|산임|산전|산제|산종|산차|산천|산철|산학|수|원|유|임|잡|장|전|제|종|주|차|창|천|철|체|학|전체면적|비율_건축면적|비율_지상연면적|건축년한_비율|높이_비율|지상층수_비율|건축년한|높이|지상층수|강파이프구조|경량철골구조|공업화박판강구조(PEB)|기타강구조|기타구조|기타조적구조|기타철골철근콘크리트구조|기타콘크리트구조|벽돌구조|블록구조|석구조|스틸하우스조|시멘트블럭조|일반목구조|일반철골구조|조립식판넬조|조적구조|철골철근콘크리트구조|철골철근콘크리트합성구조|철골콘크리트구조|철근콘크리트구조|통나무구조|프리케스트콘크리트구조|공공용시설|공동주택|공장|관광휴게시설|교육연구및복지시설|교육연구시설|교정및군사시설|근린생활시설|노유자시설|단독주택|동.식물관련시설|묘지관련시설|문화및집회시설|발전시설|방송통신시설|분뇨.쓰레기처리시설|수련시설|숙박시설|업무시설|운동시설|운수시설|위락시설|위험물저장및처리시설|의료시설|자동차관련시설|자원순환관련시설|장례시설|제1종근린생활시설|제2종근린생활시설|종교시설|창고시설|판매및영업시설|판매시설|(철근)콘크리트|기와|기타지붕|슬레이트
OC3CL200020|-0.7703968253968273|0.9761913165958871|0.0|0.0|0.0|0.0|0.6852835665432349|0.31471643345676503|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|125461.78794890555|47657.67033284974|307817.9585173589|6911347.7863964895|11829257.575652009|3234476.9835272077|22.45271140022435|38.4293938944596|10.507759193474103|0.0|8.193461664474658|0.0|0.0|0.0|0.0|0.0|0.0|2520.0983953595905|0.0|0.0|0.0|0.0|0.0|10278.91|0.0|0.0|102579.37807050263|0.0|0.0|192431.3785898322|0.0|0.0|0.0|6470.695015555484|0.0|0.0|0.0|3236.2748178500583|0.0|0.0|0.0|8477.703674483362|0.0|0.0|7381.490000000002|0.0|0.0|0.0|0.0|984.3162899400804|101511.49857881844|0.0|0.0|1077.472131147012|0.0|0.0|0.0|0.0|0.0|70527.01157620073|98569.83797772412|202.75845563959405|0.0|0.0|9378.9|46583.722855453205|97.47318173608272|968.2808339959721|0.0
OC3CL200021|-0.3745634920634934|0.9881143823918098|0.007900990540149961|0.0|0.0|0.0|0.6424332075779523|0.29444876946808224|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.019402307276362663|0.00819237806923344|0.0|0.0|0.0|0.0|0.0|0.027622347068219446|125462.12971578367|40482.14119874905|202251.04338080058|5222209.035054766|5257515.33490508|1469281.4489770967|25.820430628000917|25.99499734103309|7.264642122071612|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1861.1485426108295|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|58902.92417662486|0.0|0.0|141486.97066156488|0.0|0.0|0.0|10856.03403302744|0.0|0.0|0.0|15204.48870017556|0.0|0.0|0.0|905.398678615592|0.0|0.0|10300.070000000002|0.0|0.0|0.0|0.0|20503.94|21580.71839610534|12035.104176624864|0.0|0.0|0.0|0.0|638.2774501123878|0.0|0.0|64005.91793839742|30564.021680798196|5090.490157505349|0.0|0.0|10566.582169438427|37675.23447987018|516.2779690770182|2290.62874980185|0.0
OC3CL200022|-0.7215873015873038|0.9777232175369803|0.003860225561594072|0.0|0.0|0.0|0.6493175498553196|0.25939538763048164|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.006429634129644478|0.0|0.0|0.0|0.0|0.0|0.0|0.08099720282296022|125445.2872012447|39812.74423862248|350986.0555022039|6580200.553092447|18877324.701017875|5169040.348173285|18.74775493196518|53.783688568503095|14.727195759322205|0.0|0.0|0.0|0.0|2.0699999999999994|0.0|0.0|0.0|1871.968680213263|0.0|0.0|0.0|0.0|0.0|26763.15886509345|0.0|0.0|75026.74438687046|0.0|0.0|247322.1135700267|0.0|0.0|0.0|59638.82069975063|0.0|0.0|0.0|7202.381380077825|0.0|0.0|48.888680213263065|7603.26051324684|0.0|0.0|2381.74|0.0|0.0|0.0|0.0|7828.14|206652.92482055887|0.0|0.0|0.0|0.0|0.0|998.57|0.0|0.0|18382.63|36355.699408356435|3893.0|0.0|0.0|0.0|38358.697116307594|0.0|1454.0471223148893|0.0
OC3CL200023|-0.3108730158730175|0.9905864685650854|0.0076165505158710305|0.0|0.0|0.0|0.7264715200395345|0.2594830341196881|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.006428895324906226|0.0|0.0|0.0|0.0|0.0|0.0|0.0|125459.7032973066|51518.875115080555|383861.206942544|7817682.908705386|18193679.18789891|4999941.7685894|20.365910301208242|47.396503889548086|13.025389589153733|0.0|0.0|0.0|0.0|0.4569457277417656|0.0|0.0|0.0|2413.132573505763|0.0|0.0|0.0|0.0|0.0|19546.440158296078|0.0|0.0|85354.80772803583|0.0|5.195930616635005|276541.173606362|0.0|0.0|0.0|40191.89244568828|0.0|0.0|0.0|0.0|0.0|0.0|96.47257350576307|17888.564058682074|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5278.108735961044|248395.37056604706|0.0|0.0|1214.16|0.0|0.0|998.57|0.0|0.0|18751.86831501064|47153.200247649176|3893.0|0.0|0.0|0.0|49869.073757367594|0.0|1649.8013577129593|0.0
OC3CL200024|-0.44003968253968395|0.9862996465924545|0.0|0.0|0.0|0.0|0.6870015340972931|0.3129984659027068|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|125449.60407700826|42497.96769466735|196934.94063173333|4428027.356108466|5451710.904793365|1470604.70317865|22.484721816779278|27.682801677067648|7.467464627969032|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3794.4481409536656|0.0|0.0|0.0|0.0|0.0|928.1943146433282|0.0|0.0|15061.14535647727|0.0|883.6000000000003|176267.55281965906|0.0|0.0|0.0|8080.298631889113|0.0|0.0|0.0|2356.35|0.0|0.0|1209.6617407878432|14109.842046233653|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6334.434566763219|43983.21155436511|0.0|0.0|0.0|0.0|8880.13|0.0|0.0|0.0|36658.04975363041|75322.96233806398|0.0|0.0|0.0|0.0|40453.4457118669|211.70509488875177|1832.8168879116954|0.0
OC3CL200026|-1.0120634920634939|0.9681130223850665|0.037513175817337305|0.0|0.0|0.0|0.5191837554658295|0.2646952110375999|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.16091991346714568|0.0|0.0|0.0|0.008182690187224095|0.0|0.009505254024863541|0.0|0.0|0.0|0.0|0.0|80694.5148689984|20244.3603715004|181758.90248166776|800568.1248743575|8731429.461692253|2433886.681846602|4.4045607337175845|48.0385243444838|13.390742619014683|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|53456.90999999999|0.0|0.0|128301.99248166778|0.0|0.0|0.0|15951.90186225361|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|158995.93941958842|0.0|0.0|0.0|0.0|0.0|2577.679273610532|0.0|0.0|1874.1096525571652|424.9622736580503|823.4799999999998|0.0|0.0|1110.83|20244.3603715004|0.0|0.0|0.0
OC3CL200027|-0.8751587301587314|0.9728469581190428|0.07060587731668042|0.0|0.0|0.0|0.6816061331024854|0.21367860570111658|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.03410938387971747|0.0|0.0|0.0|0.0|0.0|108056.16902856325|41606.66855702712|313233.29175643367|1347132.0441421014|14222434.392458552|3589271.0983285094|4.300730731998994|45.405245121638416|11.45877910423226|0.0|48.27999999999999|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8431.296552366906|0.0|0.0|71618.41838482197|0.0|0.0|233135.2968192448|0.0|0.0|0.0|0.0|0.0|0.0|0.0|21339.511401325362|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|30487.390000000003|154828.24888363792|0.0|0.0|0.0|0.0|57031.838869096275|9995.36|0.0|0.0|15989.897723545035|23561.04487882907|0.0|0.0|0.0|0.0|39763.707329648074|0.0|1842.9612273790476|0.0
OC3CL200028|-0.25432539682539845|0.9904555644385611|0.00025743968000743083|0.0|0.002861526408577359|0.0|0.6815829523407569|0.3152980815706582|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|125461.91288109994|34376.89148182441|193989.23613565057|3945331.163348825|5165591.270485724|1667159.368912006|20.33788699796714|26.628236562948207|8.594081827025773|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8948.85157628981|99.10000000000002|0.0|0.0|0.0|0.0|738.4300000000001|0.0|0.0|0.0|0.0|732.78|183470.07455936077|0.0|0.0|0.0|53757.001791011884|0.0|0.0|0.0|1258.6304993911524|0.0|0.10510074045128187|154.24000000000004|27870.518417870426|0.0|0.0|703.7999999999998|0.0|0.0|0.0|0.0|8473.120343824787|30793.634183599264|0.0|0.0|0.0|0.0|0.0|54.63999999999999|0.0|0.0|27514.474703175674|42805.82366109695|603.2474349399888|0.0|0.0|0.0|32655.06015094702|460.0241937583886|994.6971371190012|267.11
OC3CL200029|0.07424603174602992|1.002564916990055|0.0|0.0|0.01791689519431511|0.0|0.7277000481662077|0.25140169511626254|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0029813615232147025|0.0|0.0|0.0|0.0|0.0|0.0|125462.13895901584|37762.825240043|161829.1647043511|3484953.0872841883|4557170.782423053|1390233.9681843065|21.534765341283926|28.16038005725753|8.590750441826431|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|13644.690488872171|0.0|0.0|0.0|0.0|0.0|418.4500000000001|0.0|0.0|0.0|0.0|2089.58|145676.44421547893|0.0|0.0|0.0|33172.50543586149|0.0|0.0|0.0|1115.76|0.0|422.66123492303115|0.0|24863.356504519714|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2171.53|48977.60552448374|0.0|0.0|0.0|47.65648548431235|0.0|0.0|0.0|0.0|20297.350391969427|30760.739127109384|0.0|0.0|0.0|0.0|37020.41526570377|358.98|383.42997433923466|0.0
OC3CL200030|-1.1846825396825418|0.9613939608362037|0.09149174598584355|0.0|0.012635452136473577|0.0|0.3279055658775162|0.1301473711503377|0.0|0.0|0.1599189076525559|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.06008439670951283|0.0|0.0|0.0|0.0|0.0|8.421164535846885e-05|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0043901647981441335|0.0|0.008024594541932186|0.0|0.0|0.0|0.0|0.09056470212456467|0.0|0.11475288737776072|124654.6781611591|29292.906078482865|37224.68007691315|768560.9109452565|1990433.8164587838|709167.0063592888|20.646541739439154|53.47081055757028|19.05098995865155|0.0|3.2653266509578978|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|758.0899999999996|0.0|0.0|36463.324750262196|0.0|0.0|0.0|34772.95|0.0|0.0|0.0|148.60365190823637|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|17.951098353958926|0.0|758.0899999999996|0.0|0.0|0.0|0.0|0.0|0.0|1420.045326650958|107.04000000000003|0.0|0.0|0.0|0.0|29165.896970907703|82.2491075751615|0.0|44.75999999999999
